Country,EdLevel,DevType,LanguageHaveWorkedWith,RemoteWork,ConvertedCompYearly,YearsCodePro
Bangladesh,Bachelor's,"Developer, back-end",HTML/CSS;Python;SQL,In-person,5524.0,14
Switzerland,Some College,Security professional,Bash/Shell (all shells);C;C++;Java;Python;R;Rust;SQL,"Hybrid (some remote, some in-person)",78995.0,3
USA,Bachelor's,"Developer, AI",Elixir,Remote,200000.0,
Poland,Bachelor's,"Developer, back-end",Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript,Remote,3093.0,2
Singapore,Bachelor's,"Developer, full-stack",C#;Go;HTML/CSS;TypeScript,Remote,73915.0,2
Argentina,Bachelor's,"Developer, back-end",Go;Kotlin;Python,Remote,3000.0,18
USA,Some College,"Developer, full-stack",JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Remote,158000.0,6
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Python;Rust;SQL,"Hybrid (some remote, some in-person)",65000.0,11
India,Master's,"Senior Executive (C-Suite, VP, etc.)",HTML/CSS;Java;JavaScript;Python;R;SQL,"Hybrid (some remote, some in-person)",83744.0,
Brazil,Bachelor's,"Developer, embedded applications or devices",C;GDScript;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Rust,In-person,8951.0,4
Indonesia,Bachelor's,"Developer, back-end",C#;C++;Go;JavaScript;PHP;Rust;TypeScript,"Hybrid (some remote, some in-person)",7360.0,3
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,"Hybrid (some remote, some in-person)",158000.0,15
USA,Bachelor's,"Developer, back-end",Clojure;JavaScript,Remote,160000.0,Less than 1 year
USA,Master's,"Developer, back-end",Bash/Shell (all shells);Lua;Python;Rust;SQL,"Hybrid (some remote, some in-person)",205000.0,
Australia,Some College,"Developer, full-stack",Elixir;Python;TypeScript,"Hybrid (some remote, some in-person)",96456.0,1
Bolivia,Some College,"Developer, front-end",HTML/CSS;JavaScript;Python,"Hybrid (some remote, some in-person)",145.0,
USA,Some College,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Remote,120000.0,3
USA,Master's,"Developer, embedded applications or devices",Assembly;C;C++;Python;Rust,"Hybrid (some remote, some in-person)",250000.0,30
USA,Bachelor's,"Developer, full-stack",HTML/CSS;Java;JavaScript;Scala,Remote,150000.0,2
Mexico,Bachelor's,"Developer, full-stack",Go;HTML/CSS;JavaScript;SQL;TypeScript,Remote,16119.0,11
Italy,Some College,Other (please specify):,C;Go;Python;Rust,"Hybrid (some remote, some in-person)",53703.0,23
USA,Some College,"Developer, full-stack",Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python;SQL,Remote,135000.0,3
USA,Some College,"Developer, full-stack",Bash/Shell (all shells);C++;Clojure;HTML/CSS;JavaScript,Remote,300000.0,2
USA,Associate,"Developer, full-stack",JavaScript;Python;Rust;TypeScript,"Hybrid (some remote, some in-person)",220000.0,35
Taiwan,Master's,"Developer, desktop or enterprise applications",C;C++;JavaScript;Python,In-person,77211.0,6
USA,Some College,Database administrator,Apex;Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Perl;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",45000.0,8
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,"Hybrid (some remote, some in-person)",225000.0,
Canada,Bachelor's,"Developer, full-stack",C#;HTML/CSS;SQL;TypeScript,Remote,58154.0,4
Mexico,Bachelor's,"Developer, desktop or enterprise applications",C#;C++;JavaScript;PowerShell,"Hybrid (some remote, some in-person)",28161.0,30
USA,Master's,"Developer, back-end",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Remote,120000.0,Less than 1 year
Canada,Some College,"Developer, back-end",Bash/Shell (all shells);Go;Java;Kotlin;Python;SQL,"Hybrid (some remote, some in-person)",76328.0,16
Canada,Bachelor's,"Developer, desktop or enterprise applications",HTML/CSS;JavaScript,"Hybrid (some remote, some in-person)",94501.0,1
USA,Master's,"Developer, back-end",HTML/CSS;Java;Rust;SQL;TypeScript,In-person,130000.0,32
UK,Master's,"Developer, full-stack",Java;JavaScript;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",229298.0,19
India,Master's,"Developer, back-end",Java;Scala,Remote,43068.0,28
USA,Some College,"Developer, back-end",HTML/CSS;Python;Rust;Scala;SQL,Remote,260000.0,8
USA,Bachelor's,"Developer, desktop or enterprise applications",Apex;Bash/Shell (all shells);HTML/CSS;PHP;PowerShell;Python;SQL,Remote,106000.0,Less than 1 year
Brazil,Bachelor's,"Developer, back-end",C;C++;Go;JavaScript;PHP;Ruby;Rust;SQL,Remote,24243.0,16
USA,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,Remote,140000.0,10
USA,Some College,Designer,Dart;JavaScript,Remote,72000.0,
Singapore,Master's,"Developer, back-end",C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA;Visual Basic (.Net),In-person,406535.0,9
India,Bachelor's,"Developer, full-stack",Clojure,Remote,107671.0,17
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;SQL;TypeScript,Remote,195000.0,19
USA,Bachelor's,Research & Development role,Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;PowerShell;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",124000.0,
USA,Bachelor's,"Developer, game or graphics",C#;C++;JavaScript,Remote,120000.0,
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",Assembly;Bash/Shell (all shells);C;JavaScript;Lisp;Lua;Python;Rust;SQL,In-person,165000.0,15
Mexico,Bachelor's,"Developer, back-end",Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Remote,230000.0,1
Indonesia,Bachelor's,"Developer, full-stack",Java;TypeScript,"Hybrid (some remote, some in-person)",5336.0,6
Brazil,Master's,Research & Development role,JavaScript;TypeScript,"Hybrid (some remote, some in-person)",24243.0,9
USA,Bachelor's,"Developer, full-stack",Elixir;Rust;Zig,Remote,165000.0,5
New Zealand,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;SQL,In-person,73748.0,17
Canada,Bachelor's,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C++;MATLAB;Python;Rust,Remote,65424.0,35
UK,Some College,"Developer, full-stack",Bash/Shell (all shells);C;C++;Clojure;Java;JavaScript;Lua;Rust;SQL;TypeScript,Remote,203821.0,30
USA,Associate,Data engineer,Bash/Shell (all shells);Java;Python;SQL,"Hybrid (some remote, some in-person)",127000.0,20
USA,Bachelor's,"Developer, back-end",Go;Python;Rust;SQL,"Hybrid (some remote, some in-person)",310000.0,Less than 1 year
Canada,Bachelor's,"Developer, back-end",Java;Python;SQL,"Hybrid (some remote, some in-person)",94501.0,2
USA,Master's,"Developer, QA or test",C;C#;C++;JavaScript;Python;Zig,In-person,95000.0,Less than 1 year
Germany,Something else,"Developer, full-stack",Bash/Shell (all shells);C;C++;Delphi;Go;Haskell;Java;JavaScript;Lua;MicroPython;PowerShell;Python;Rust;TypeScript,In-person,10741.0,4
Australia,Bachelor's,"Developer, full-stack",Clojure;SQL;TypeScript,Remote,105706.0,
USA,Master's,"Developer, back-end",Rust,Remote,180000.0,12
USA,Bachelor's,Data or business analyst,R;SQL,"Hybrid (some remote, some in-person)",150000.0,4
Canada,Master's,"Developer, game or graphics",C;C#;C++;Clojure;Dart;Elixir;Kotlin;Rust,"Hybrid (some remote, some in-person)",92683.0,12
Germany,Some College,"Developer, full-stack",Java;Swift,"Hybrid (some remote, some in-person)",32222.0,3
Ukraine,Master's,"Developer, back-end",C#;Go;PowerShell;SQL,Remote,37026.0,16
Singapore,Bachelor's,Data engineer,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",77611.0,2
USA,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",187000.0,4
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;JavaScript;Rust;TypeScript,"Hybrid (some remote, some in-person)",175000.0,5
Norway,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;Python,"Hybrid (some remote, some in-person)",60834.0,Less than 1 year
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Bash/Shell (all shells);HTML/CSS;JavaScript;R,In-person,80000.0,14
USA,Bachelor's,Project manager,C#;C++;Java;PowerShell;Python,In-person,190000.0,
USA,Bachelor's,"Developer, full-stack",Clojure;Elixir;Go;JavaScript;Rust;SQL;TypeScript,Remote,200000.0,2
Thailand,Bachelor's,Engineering manager,HTML/CSS;JavaScript;PHP;SQL,"Hybrid (some remote, some in-person)",80000.0,7
Australia,Some College,DevOps specialist,Bash/Shell (all shells);Rust;TypeScript,Remote,132132.0,5
USA,Associate,"Developer, full-stack",Go;Python;Rust;TypeScript,Remote,153000.0,
USA,Some College,Other (please specify):,C#;Groovy;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Remote,190000.0,1
Australia,Secondary School,"Developer, back-end",Bash/Shell (all shells);C;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",19820.0,
USA,Master's,Other (please specify):,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Julia;PowerShell;Python;R;Rust;SQL,"Hybrid (some remote, some in-person)",140000.0,8
USA,Master's,Data engineer,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Python;SQL;Zig,Remote,100000.0,
China,Master's,Research & Development role,Python;R,In-person,68987.0,11
New Zealand,Bachelor's,"Developer, back-end",Cobol;JavaScript;SQL;TypeScript;Visual Basic (.Net),"Hybrid (some remote, some in-person)",52238.0,6
Romania,Master's,Blockchain,Rust,Remote,38192.0,Less than 1 year
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Kotlin;Lua;PHP;Python;Rust;SQL;Swift;TypeScript,Remote,225000.0,2
USA,Bachelor's,"Developer, embedded applications or devices",Rust,Remote,273882.0,5
USA,Master's,Research & Development role,C++;MATLAB;Python,"Hybrid (some remote, some in-person)",140000.0,Less than 1 year
Canada,Bachelor's,Data engineer,PowerShell;SQL,Remote,79962.0,
Australia,Bachelor's,Other (please specify):,Cobol;HTML/CSS;Java;JavaScript;Python;SQL,In-person,118919.0,30
Australia,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Clojure;Go;HTML/CSS;JavaScript;PHP;Python;Rust;Solidity;SQL;TypeScript,"Hybrid (some remote, some in-person)",132132.0,4
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Python;Ruby;Rust;SQL;TypeScript,Remote,180000.0,9
Indonesia,Bachelor's,"Developer, back-end",C#;Go;HTML/CSS;Rust;SQL,"Hybrid (some remote, some in-person)",8586.0,4
USA,Master's,"Developer, back-end",Bash/Shell (all shells);Clojure;Java;JavaScript;Python;TypeScript,Remote,210000.0,10
USA,Bachelor's,"Developer, mobile",Bash/Shell (all shells);Objective-C;Python;SQL;Swift,"Hybrid (some remote, some in-person)",333000.0,Less than 1 year
USA,Bachelor's,Data engineer,Apex;Bash/Shell (all shells);Java;JavaScript;Python;Ruby;Scala;SQL,Remote,150000.0,
Canada,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, desktop or enterprise applications",Bash/Shell (all shells);C++;Python;Rust,Remote,290772.0,
USA,Bachelor's,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C++;Objective-C,"Hybrid (some remote, some in-person)",135000.0,25
USA,Some College,DevOps specialist,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;Python;Rust;SQL;TypeScript,Remote,300000.0,9
Australia,Associate,"Developer, back-end",Groovy;HTML/CSS;Java;JavaScript;PHP,"Hybrid (some remote, some in-person)",132132.0,Less than 1 year
USA,Master's,"Developer, desktop or enterprise applications",Objective-C;Swift,Remote,148600.0,17
Canada,Bachelor's,"Developer, full-stack",C;C++;Dart;GDScript;Go;Rust;SQL;TypeScript,Remote,38527.0,2
Canada,Some College,Student,JavaScript;Python;Rust,In-person,21808.0,10
Costa Rica,Associate,"Developer, full-stack",HTML/CSS;JavaScript;Ruby;TypeScript,Remote,38518.0,
Lithuania,Master's,"Developer, full-stack",Dart;HTML/CSS;JavaScript;Python,"Hybrid (some remote, some in-person)",51555.0,14
Taiwan,Primary School,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,In-person,33355.0,12
USA,Bachelor's,Cloud infrastructure engineer,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Lua;Python;SQL,"Hybrid (some remote, some in-person)",120000.0,3
Georgia,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,C++;Python,Remote,34958.0,Less than 1 year
India,Bachelor's,"Developer, back-end",Java,"Hybrid (some remote, some in-person)",14356.0,1
Israel,Bachelor's,"Developer, desktop or enterprise applications",Java,In-person,64762.0,
USA,Master's,"Developer, front-end",JavaScript;TypeScript,"Hybrid (some remote, some in-person)",142000.0,
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C++;Python;Rust;SQL,In-person,550000.0,30
India,Bachelor's,"Developer, back-end",Java;JavaScript;SQL,"Hybrid (some remote, some in-person)",53836.0,5
Sweden,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Bash/Shell (all shells);C++;JavaScript;MATLAB;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",57230.0,8
Taiwan,Master's,"Developer, desktop or enterprise applications",C;C++,In-person,61768.0,8
Canada,Associate,"Developer, full-stack",HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,Remote,116309.0,3
Greece,Bachelor's,Engineering manager,HTML/CSS;Java;JavaScript;Python;Scala;TypeScript,Remote,85925.0,3
USA,Some College,Developer Experience,Bash/Shell (all shells);HTML/CSS;Rust,"Hybrid (some remote, some in-person)",750000.0,14
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C;C++;HTML/CSS;Lua;Rust,"Hybrid (some remote, some in-person)",100000.0,
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;C++;Python;Scala;TypeScript,"Hybrid (some remote, some in-person)",97000.0,8
Taiwan,Master's,DevOps specialist,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",92653.0,3
India,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;Python,"Hybrid (some remote, some in-person)",14356.0,2
Brazil,Bachelor's,"Developer, back-end",C#;PowerShell;SQL,Remote,111892.0,2
Canada,Master's,"Developer, game or graphics",C++;GDScript,"Hybrid (some remote, some in-person)",109039.0,1
Philippines,Associate,"Developer, full-stack",C#;C++;Delphi;JavaScript;Ruby;SQL,In-person,14298.0,11
Australia,Bachelor's,Data engineer,Python;R;SQL,"Hybrid (some remote, some in-person)",97117.0,4
Netherlands,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",50911.0,7
Brazil,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",40281.0,
USA,Bachelor's,"Developer, full-stack",C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net),"Hybrid (some remote, some in-person)",75000.0,11
USA,Master's,"Developer, full-stack",Java;JavaScript;Kotlin;SQL;TypeScript,"Hybrid (some remote, some in-person)",155000.0,Less than 1 year
Sweden,Bachelor's,"Developer, back-end",Assembly;C;C#;C++;PowerShell;Visual Basic (.Net),"Hybrid (some remote, some in-person)",66769.0,10
USA,Bachelor's,"Developer, full-stack",Java;JavaScript;Python;Rust;TypeScript,In-person,252000.0,5
Australia,Bachelor's,"Developer, back-end",C#;C++;GDScript;HTML/CSS;Java;Lua;Rust;SQL;TypeScript,Remote,95796.0,2
India,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Java;Rust;SQL,"Hybrid (some remote, some in-person)",41872.0,8
Malaysia,Bachelor's,"Developer, back-end",Java;Python,"Hybrid (some remote, some in-person)",15256.0,12
India,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",17945.0,3
USA,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL,"Hybrid (some remote, some in-person)",126000.0,5
Ecuador,Some College,DevOps specialist,Bash/Shell (all shells);GDScript;Groovy;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;Scala;SQL;TypeScript,In-person,14600.0,
USA,Master's,Engineering manager,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,Remote,180000.0,3
USA,Some College,Student,Bash/Shell (all shells);Clojure;Go;HTML/CSS;JavaScript;MATLAB;OCaml;Python;R;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",84000.0,Less than 1 year
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Perl;Python;SQL,Remote,190000.0,
"Iran, Islamic Republic of...",Master's,"Developer, back-end",Java;SQL,"Hybrid (some remote, some in-person)",285120.0,49
USA,Master's,Engineering manager,F#;Go;HTML/CSS;JavaScript;Rust;TypeScript,Remote,160000.0,9
Côte d'Ivoire,Associate,"Developer, full-stack",Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,In-person,9160.0,9
USA,Some College,"Developer, embedded applications or devices",C;C#;C++;Lisp;Python;Rust,In-person,320000.0,12
India,Bachelor's,"Developer, front-end",C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",17945.0,
Japan,Master's,"Developer, full-stack",HTML/CSS;Java;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",31822.0,1
USA,Bachelor's,"Developer, back-end",C#;Clojure;JavaScript;TypeScript,Remote,120000.0,28
USA,Bachelor's,"Developer, front-end",C++;Dart;HTML/CSS;TypeScript,In-person,99000.0,8
Poland,Bachelor's,"Developer, back-end",Go;Python;SQL,Remote,61866.0,3
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C++;JavaScript;Python;Rust,"Hybrid (some remote, some in-person)",220000.0,15
Thailand,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",14168.0,26
Australia,Bachelor's,"Developer, front-end",JavaScript;TypeScript,"Hybrid (some remote, some in-person)",112312.0,
Bangladesh,Bachelor's,"Developer, full-stack",Java;JavaScript;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",8498.0,
India,Master's,Engineering manager,Clojure;Dart;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA,"Hybrid (some remote, some in-person)",59817.0,
India,Bachelor's,Data or business analyst,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Remote,5982.0,4
France,Master's,"Developer, full-stack",C#;PowerShell;Python,"Hybrid (some remote, some in-person)",66592.0,3
Pakistan,Master's,"Developer, full-stack",Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;MicroPython;PHP;PowerShell;Python;SQL;Swift,Remote,120000.0,3
Indonesia,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,In-person,5581.0,1
Australia,Bachelor's,Data engineer,PowerShell;Python;R;SQL,"Hybrid (some remote, some in-person)",85886.0,6
USA,Master's,"Developer, front-end",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,"Hybrid (some remote, some in-person)",127000.0,25
Israel,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;Python;SQL,Remote,58286.0,7
Canada,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;JavaScript;Rust;TypeScript,Remote,123578.0,3
USA,Bachelor's,Cloud infrastructure engineer,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,Remote,110000.0,12
Canada,Bachelor's,"Developer, full-stack",Java;Python;SQL,Remote,65424.0,6
Australia,Secondary School,"Developer, full-stack",Python,Remote,56156.0,2
USA,Bachelor's,"Developer, front-end",Bash/Shell (all shells);JavaScript;PowerShell;Rust,Remote,200000.0,3
Jamaica,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;Python;TypeScript,In-person,10922.0,
USA,Bachelor's,"Developer, back-end",Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Scala;Swift;TypeScript,In-person,100000.0,5
USA,Master's,"Developer, back-end",Java;JavaScript;SQL;TypeScript,Remote,400000.0,5
Denmark,Master's,Data or business analyst,HTML/CSS;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",96078.0,4
USA,Bachelor's,"Developer, full-stack",Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",130000.0,2
Australia,Some College,"Developer, full-stack",HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Remote,89189.0,8
USA,Bachelor's,"Developer, game or graphics",C#;GDScript;HTML/CSS;Java;JavaScript;Lua;Rust,Remote,95000.0,10
Denmark,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",86401.0,10
India,Master's,"Developer, full-stack",C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,In-person,5742.0,20
Austria,Master's,Project manager,Bash/Shell (all shells);C;Python,Remote,80555.0,12
Ukraine,Master's,"Developer, front-end",HTML/CSS;JavaScript;Rust;SQL;TypeScript,Remote,617.0,5
India,Bachelor's,"Developer, full-stack",C;C++;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,Remote,35890.0,3
Japan,Bachelor's,Engineering manager,HTML/CSS;JavaScript;TypeScript,Remote,70008.0,22
Slovakia,Secondary School,"Developer, mobile",Assembly;Bash/Shell (all shells);C;Go;Haskell;HTML/CSS;JavaScript;TypeScript,Remote,10311.0,4
Australia,Secondary School,"Engineer, site reliability",Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Lua;PHP;Python;Ruby;Rust;SQL;TypeScript,Remote,145345.0,
Ukraine,Master's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",36000.0,1
Germany,Some College,Student,C++;MATLAB;Python;R,"Hybrid (some remote, some in-person)",6444.0,2
USA,Master's,"Developer, back-end",Bash/Shell (all shells);Java;PowerShell;SQL,Remote,200000.0,13
India,Master's,Other (please specify):,C;C++;MATLAB;Python;Visual Basic (.Net),Remote,11963.0,
India,Master's,"Developer, back-end",C;C#;C++;HTML/CSS;Java;JavaScript;Perl;Python;SQL;TypeScript,In-person,14356.0,14
Australia,Bachelor's,Student,Bash/Shell (all shells);C++;Erlang;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Prolog;Python;SQL,"Hybrid (some remote, some in-person)",33033.0,
India,Bachelor's,"Developer, back-end",C;C#,"Hybrid (some remote, some in-person)",17945.0,5
Ukraine,Bachelor's,"Developer, back-end",Java,Remote,32000.0,6
Germany,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",57999.0,3
UK,Master's,"Developer, full-stack",Assembly;Bash/Shell (all shells);C;Cobol;Go;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,"Hybrid (some remote, some in-person)",159235.0,15
Canada,Bachelor's,"Developer, back-end",Elixir;JavaScript,Remote,151928.0,12
India,Associate,Research & Development role,C;C#;C++;HTML/CSS;Java;MATLAB;PHP;PowerShell;Python;SQL,In-person,4546.0,10
Sweden,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Scientist,Go;MATLAB;Python;R;SQL,"Hybrid (some remote, some in-person)",54369.0,
Singapore,Bachelor's,Blockchain,Bash/Shell (all shells);JavaScript;Ruby;Rust;SQL;TypeScript,Remote,88699.0,
USA,Some College,DevOps specialist,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL,Remote,115000.0,
Brazil,Associate,Developer Experience,C;Kotlin;Rust;TypeScript,Remote,2014062.0,
USA,Bachelor's,"Developer, back-end",Python;SQL,"Hybrid (some remote, some in-person)",83000.0,29
New Zealand,Master's,Engineering manager,Bash/Shell (all shells);JavaScript;PHP;Swift;TypeScript,"Hybrid (some remote, some in-person)",202807.0,
Indonesia,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,In-person,5888.0,10
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",HTML/CSS;JavaScript;PHP;SQL,In-person,120000.0,18
Czech Republic,Master's,"Developer, full-stack",HTML/CSS;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",4865.0,3
Australia,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;C++;Go;Haskell;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),In-person,85886.0,5
Canada,Some College,"Developer, embedded applications or devices",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",45070.0,4
Ukraine,Master's,"Developer, mobile",Bash/Shell (all shells);Dart,"Hybrid (some remote, some in-person)",4937.0,
Germany,Master's,DevOps specialist,Bash/Shell (all shells);C;Java,"Hybrid (some remote, some in-person)",64444.0,3
USA,Bachelor's,"Senior Executive (C-Suite, VP, etc.)",C#;C++;GDScript;HTML/CSS;Lua;Python;Rust;TypeScript,Remote,450000.0,
Czech Republic,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C++;PHP;Python,"Hybrid (some remote, some in-person)",31273.0,10
India,Bachelor's,Data engineer,MATLAB;PowerShell;Python;SQL;VBA,"Hybrid (some remote, some in-person)",5264.0,
Honduras,Bachelor's,"Developer, back-end",Go;Rust;TypeScript,Remote,4573.0,5
India,Bachelor's,Other (please specify):,C++;HTML/CSS;Java;JavaScript;SQL,In-person,6759.0,17
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Remote,300000.0,17
USA,Some College,"Developer, full-stack",Bash/Shell (all shells);Python;Rust;SQL,Remote,173000.0,
Singapore,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Clojure;Java;Python,"Hybrid (some remote, some in-person)",74285.0,
Netherlands,Master's,"Developer, embedded applications or devices",Java;Rust,"Hybrid (some remote, some in-person)",59073.0,
Netherlands,Master's,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C++;Java;Python;Rust;SQL,"Hybrid (some remote, some in-person)",67666.0,Less than 1 year
Slovakia,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Remote,103110.0,3
United Arab Emirates,Bachelor's,"Developer, full-stack",Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,In-person,81679.0,
